epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,1.538610e+00,2447.5,True,1.591837e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
1,7.490788e+00,1.250710e+01,2159.3,True,3.795918e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
2,5.497564e+00,3.806948e+01,1050.0,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
5,4.101979e+00,2.758523e+01,1050.0,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
10,2.167650e+00,3.373266e+00,2133.6,True,1.102041e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
20,1.821169e+00,2.058365e+00,2248.1,True,1.591837e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
50,1.004988e+00,2.558476e+00,2173.9,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.2
100,6.147489e-01,1.164218e+00,2372.5,True,1.591837e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.2
200,4.425409e-01,2.880641e-01,2590.1,True,1.591837e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.2
500,3.978589e-01,2.182944e-01,2601.1,True,1.591837e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.2
1000,3.630047e-01,1.852023e-01,2608.9,True,1.469388e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.3
2000,3.295177e-01,1.379574e-01,2625.3,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
3000,3.107678e-01,1.275935e-01,2631.2,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
5000,2.946774e-01,1.221488e-01,2622.9,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
7500,2.732077e-01,1.048671e-01,2605.1,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
10000,2.698263e-01,9.825324e-02,2606.9,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
