model,width,parameters,train_loss,test_loss,train_loss_late_median,train_late_min,train_late_max,source,reused,architecture_version,n_mu
ChemKAN,2,78,0.033512186259031296,0.060540616512298584,0.035280389711260796,0.033514756709337234,0.03893741965293884,results/reproduction/chemkan/biodiesel/scaling_nmu2/h02_seed0/checkpoint_final.pt,False,,2
ChemKAN,3,117,0.04685179144144058,0.07188231498003006,0.05408394895493984,0.04686485975980759,0.06315543502569199,results/reproduction/chemkan/biodiesel/scaling/h03_seed0/checkpoint_final.pt,True,,2
ChemKAN,4,156,0.0683738961815834,0.11164325475692749,0.07526267692446709,0.06748750060796738,0.1550697535276413,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/checkpoint_epoch_5000.pt,True,,2
ChemKAN,10,390,0.07518193870782852,0.12338970601558685,0.09043626114726067,0.0755060464143753,0.1863803118467331,results/reproduction/chemkan/biodiesel/scaling_nmu2/h10_seed0/checkpoint_final.pt,False,,2
ChemKAN,17,663,0.18726298213005066,0.31405118107795715,0.21476208418607712,0.18364527821540833,0.35351794958114624,results/reproduction/chemkan/biodiesel/scaling_nmu2/h17_seed0/checkpoint_final.pt,False,,2
DeepONet,3,85,0.7530118823051453,0.8642420768737793,0.753010630607605,0.7530104517936707,0.7530965209007263,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w03_seed0/checkpoint_final.pt,False,reference_final_trunk_relu,
DeepONet,5,169,0.31511735916137695,0.3667267858982086,0.3151176869869232,0.31511610746383667,0.31515127420425415,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w05_seed0/checkpoint_final.pt,False,reference_final_trunk_relu,
DeepONet,6,220,0.31599605083465576,0.38201960921287537,0.3159962296485901,0.315995991230011,0.3161315619945526,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w06_seed0/checkpoint_final.pt,False,reference_final_trunk_relu,
DeepONet,8,340,0.021653462201356888,0.07190263271331787,0.021658522076904774,0.021631591022014618,0.02189501002430916,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w08_seed0/checkpoint_final.pt,False,reference_final_trunk_relu,
DeepONet,10,484,0.18073990941047668,0.23344579339027405,0.18076223134994507,0.18073990941047668,0.18147684633731842,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w10_seed0/checkpoint_final.pt,False,reference_final_trunk_relu,
DeepONet,13,745,0.00437635462731123,0.036479443311691284,0.004794093081727624,0.004349640104919672,0.005804917309433222,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w13_seed0/checkpoint_final.pt,False,reference_final_trunk_relu,
